mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line
26	23	361/4	361/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	207						12		
26	23	365/4	365/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	208						12		
27	24	369/4	369/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	209								
27	24	371/4	371/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	210								
27	24	375/4	375/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	211						13		
27	24	377/4	377/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	212						13		
27	24	379/4	379/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	213						13		
27	24	381/4	381/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	214						13		
27	24	383/4	383/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	215								
27	24	373/4	373/4	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	216								
27	24	377/4	377/4	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	217								
27	24	369/4	369/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	218						12		
27	24	373/4	373/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	219						12		
27	24	377/4	377/4	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	220								
28	25	385/4	385/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	221								
28	25	387/4	387/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	222								
28	25	391/4	391/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	223								
28	25	395/4	395/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	224								
28	25	399/4	399/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	225						14		
28	25	385/4	385/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	226						15		
28	25	389/4	389/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	227						15		
28	25	393/4	393/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	228						15		
